Property Id,Address,Customer Id,Customer Name,Total Cost,yearBuilt,Sale Date,Seller,Image
1,"330 HORTON ST , Philadelphia, PA 19139",1,AN PROPERTIES  LLC,"39,300.90",1925,August 2  2016,PHH MORTGAGE CORPORATION,https://4.imimg.com/data4/BH/PO/MY-12310397/palm-green-villas-project-erattayal-500x500.jpg
2,"1544 SOUTH WILTON STREET , Philadelphia, PA 19143",2,BIELLI & KLAUDER LLC,"30,412.98",1925,August 2  2016,BRIDGE-GATE ASSETS MANAGEMENT  LLC,http://www.ishangd.com/wp-content/uploads/2016/02/properties.jpg
3,"3545 TUDOR ST , Philadelphia, PA 19136",3,COBA  INC.,"51,915.53",1963,September 13  2016,COBA  INC,http://www.nallaneramproperties.com/wp-content/uploads/2016/10/property-connect-home.jpg
4,"5649 HEISKELL ST , Philadelphia, PA 19144",3,COBA  INC.,"28,346.90",1927,September 13  2016,TD BANK  NA.  SUCCESSOR BY MERGER TO COMMERCE BANK  NA,http://www.sobha.com/images/sobha-azalea-banner1.jpg
5,"5618 UTAH ST , Philadelphia, PA 19144",4,COBA  INC.,"25,890.04",1932,August 2  2016,TD BANK  N.A.  SUCCESSOR BY MERGER TO COMMERCE BANK  N.A.,http://www.hindustantimes.com/rf/image_size_640x362/HT/p2/2016/11/15/Pictures/dream-house-front_8843d09c-ab15-11e6-b961-04ee4fa7b706.jpg
6,"9804 WOODFERN RD , Philadelphia, PA 19115",4,DUANE MORRIS LLP,"59,466.35",1955,September 13  2016,COBA  INC.,https://in.all.biz/img/in/service_catalog/15784.jpeg
7,"1552 E LYCOMING ST , Philadelphia, PA 19124",4,DUANE MORRIS LLP,"38,258.77",1944,September 13  2016,COBA  INC.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSisI502bmd8QBqTAPkzbyab3cdcjFebV06dsTXNo-L3RDjlGmX
8,"4741 OAKLAND ST , Philadelphia, PA 19124",5,FANNIE MAE,"67,615.83",1945,October 4  2016,MTGLQ INVESTORS  LP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgfxb4wALqtGQvsZvGpXQpaaVGkVjK-Px3UCY6QwBSEfcM1inX
9,"2255 WINTON ST , Philadelphia, PA 19145",5,FANNIE MAE,"27,322.87",1918,August 2  2016,PNC BANK  NATIONAL ASSOCIATION ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIKZAWu5miJdWwgncmjFjQaQuKkQcKyVfOqhilLbBJdmMiCyGv
10,"4613 EDMUND ST , Philadelphia, PA 19124",5,FANNIE MAE,"29,746.88",1935,August 2  2016,BENEFICIAL BANK,http://media.chicagomag.com//images/2009/January%202009/deal_snow.jpg
